,BioSample,SRA,bin_amoxicillin-clavulanic acid,mic_amoxicillin-clavulanic acid,bin_ampicillin,mic_ampicillin,bin_azithromycin,mic_azithromycin,bin_cefoxitin,mic_cefoxitin,bin_ceftiofur,mic_ceftiofur,bin_ceftriaxone,mic_ceftriaxone,bin_chloramphenicol,mic_chloramphenicol,bin_ciprofloxacin,mic_ciprofloxacin,bin_gentamicin,mic_gentamicin,bin_kanamycin,mic_kanamycin,bin_nalidixic acid,mic_nalidixic acid,bin_streptomycin,mic_streptomycin,bin_sulfisoxazole,mic_sulfisoxazole,bin_tetracycline,mic_tetracycline,bin_trimethoprim-sulfamethoxazole,mic_trimethoprim-sulfamethoxazole,CFSAN,bin_amikacin,mic_amikacin,bin_sulfamethoxazole,mic_sulfamethoxazole,bin_meropenem,mic_meropenem,EDLB-CDC,bin_colistin,mic_colistin,bin_tigecycline,mic_tigecycline,bin_imipenem,mic_imipenem,bin_nitrofurantoin,mic_nitrofurantoin,bin_cefuroxime,mic_cefuroxime,bin_cefepime,mic_cefepime,bin_ertapenem,mic_ertapenem,bin_amoxicillin,mic_amoxicillin,bin_ticarcillin,mic_ticarcillin,bin_cefalotin,mic_cefalotin,bin_cefotaxime,mic_cefotaxime,bin_sulfonamide,mic_sulfonamide,bin_ceftazidime,mic_ceftazidime,bin_ampicillin-sulbactam,mic_ampicillin-sulbactam,bin_doripenem,mic_doripenem,bin_levofloxacin,mic_levofloxacin,bin_piperacillin-tazobactam,mic_piperacillin-tazobactam,bin_cefazolin,mic_cefazolin,bin_tobramycin,mic_tobramycin,bin_moxifloxacin,mic_moxifloxacin,bin_aztreonam,mic_aztreonam,bin_ceftazidime-avibactam,mic_ceftazidime-avibactam,bin_ceftolozane-tazobactam,mic_ceftolozane-tazobactam,bin_erythromycin,mic_erythromycin,bin_minocycline,mic_minocycline,bin_polymyxin B,mic_polymyxin B
21,SAMN04256093,SRS1218653,0.0,8.0,1.0,32.0,,,0.0,2.0,0.0,0.5,0.0,0.25,0.0,4.0,0.0,0.015,0.0,0.25,0.0,8.0,0.0,2.0,0.0,32.0,1.0,256.0,1.0,32.0,0.0,0.125,CFSAN041991,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,SAMN04256092,SRS1218644,0.0,1.0,0.0,2.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,4.0,0.0,0.015,0.0,0.25,0.0,8.0,0.0,4.0,0.0,32.0,0.0,64.0,0.0,4.0,0.0,0.125,CFSAN041990,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,SAMN04256091,SRS1247079,0.0,1.0,0.0,1.0,,,0.0,1.0,0.0,1.0,0.0,0.25,0.0,4.0,0.0,0.015,0.0,0.25,0.0,8.0,0.0,2.0,0.0,32.0,0.0,32.0,0.0,4.0,0.0,0.125,CFSAN041989,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,SAMN04256090,SRS1246247,0.0,8.0,1.0,32.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,,8.0,0.0,8.0,0.0,4.0,0.0,32.0,1.0,256.0,1.0,32.0,0.0,0.125,CFSAN041988,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,SAMN04256089,SRS1221869,,16.0,1.0,32.0,,,0.0,4.0,0.0,1.0,0.0,0.25,1.0,32.0,0.0,0.015,0.0,0.25,0.0,8.0,0.0,2.0,1.0,64.0,1.0,256.0,1.0,32.0,0.0,0.125,CFSAN041987,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,SAMN04256088,SRS1279134,1.0,32.0,1.0,32.0,,,1.0,32.0,1.0,8.0,1.0,16.0,0.0,4.0,0.0,0.015,0.0,0.25,0.0,8.0,0.0,4.0,0.0,32.0,1.0,256.0,1.0,32.0,0.0,0.25,CFSAN041986,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,SAMN04256087,SRS1218649,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,0.5,0.0,0.25,0.0,4.0,0.0,0.015,0.0,0.25,0.0,8.0,0.0,2.0,0.0,32.0,0.0,32.0,0.0,4.0,0.0,0.125,CFSAN041985,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,SAMN04256086,SRS1246238,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,0.5,0.0,0.25,0.0,4.0,0.0,0.015,0.0,0.25,0.0,8.0,0.0,2.0,0.0,32.0,0.0,32.0,0.0,4.0,0.0,0.125,CFSAN041984,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,SAMN04256085,SRS1246261,1.0,32.0,1.0,32.0,,,1.0,32.0,1.0,8.0,1.0,16.0,0.0,4.0,0.0,0.015,0.0,0.5,1.0,64.0,0.0,2.0,0.0,32.0,0.0,16.0,0.0,4.0,0.0,0.125,CFSAN041983,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,SAMN04256084,SRS1246237,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,4.0,0.0,0.03,0.0,0.25,0.0,8.0,0.0,2.0,0.0,32.0,0.0,32.0,0.0,4.0,0.0,0.125,CFSAN041982,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
